[ License Plate Number , Vehicle Type , Entry Time , Departure time]
200 , sasasas , 2024-02-23 22:46:58 , 2024-02-23 22:47:03
35 , vdfv , 2024-02-23 22:55:41 , 2024-02-23 22:55:46
999 , xhtgh , 2024-02-23 22:59:42 , 2024-02-23 22:59:46
34 , dfvsvgf , 2024-02-23 23:11:42 , 2024-02-23 23:11:47
35 , fd , 2024-02-23 23:12:39 , 2024-02-23 23:12:43
123 , fcdgf , 2024-02-25 00:54:38 , 2024-02-25 00:54:44
56 , df , 2024-02-25 03:14:45 , 2024-02-25 03:14:57
125 , 56 , 2024-02-25 03:35:01 , 2024-02-25 03:35:20
90 , vb , 2024-02-25 03:37:35 , 2024-02-25 03:37:39
745 , as , 2024-02-25 09:42:21 , 2024-02-25 09:42:35
159 , gh , 2024-02-25 09:45:43 , 2024-02-25 09:45:48
10 , as , 2024-02-25 10:46:20 , 2024-02-25 10:46:35
20 , sd , 2024-02-25 10:46:24 , 2024-02-25 10:47:27
10 , sfsd , 2024-02-25 13:17:34 , 2024-02-25 13:18:01
20 , car , 2024-02-25 13:11:23 , 2024-02-25 13:18:17
30 , dsaf , 2024-02-25 10:46:29 , 2024-02-25 13:18:21
10 , jlj , 2024-02-25 13:18:35 , 2024-02-25 13:18:40
10 , kk , 2024-02-25 13:18:47 , 2024-02-25 13:18:52
120 , as , 2024-02-25 13:22:08 , 2024-02-25 13:22:15
520 , as , 2024-02-25 13:24:53 , 2024-02-25 13:25:04
111 , a , 2024-02-25 13:28:16 , 2024-02-25 13:28:22
1212 , a , 2024-02-25 13:30:35 , 2024-02-25 13:30:40
1212 , 1212 , 2024-02-25 13:32:12 , 2024-02-25 13:32:19
1012 , as , 2024-02-25 13:33:20 , 2024-02-25 13:33:34
1313 , a , 2024-02-25 13:35:01 , 2024-02-25 13:35:06
1414 , a , 2024-02-25 13:36:02 , 2024-02-25 13:36:07
156 , as , 2024-02-25 13:39:46 , 2024-02-25 13:39:51
10 , as , 2024-02-25 13:42:16 , 2024-02-25 13:42:20
6424 , caa , 2024-02-25 22:03:29 , 2024-02-25 22:03:54
6689 , car , 2024-02-25 14:30:14 , 2024-02-25 22:04:15
1234 , ewfe , 2024-02-25 22:11:28 , 2024-02-25 22:12:07
1212 , cdc , 2024-02-25 22:18:58 , 2024-02-25 22:19:01
125 , hfytdfyuh , 2024-02-26 11:04:13 , 2024-02-26 11:04:49
125 , wferg , 2024-02-26 11:06:29 , 2024-02-26 11:06:33
12 , df , 2024-02-25 02:52:53 , 2024-02-26 11:07:52
134 , fdbgfdb , 2024-02-26 11:08:12 , 2024-02-26 11:08:31
1122 , car , 2024-02-26 19:10:16 , 2024-02-26 19:10:27
12345 , scfv , 2024-02-26 19:11:41 , 2024-02-26 19:11:58
1010 , hgj , 2024-02-26 19:24:17 , 2024-02-26 19:24:23
1313 , c , 2024-02-26 19:26:06 , 2024-02-26 19:26:11
1212 , car , 2024-02-26 20:30:10 , 2024-02-26 20:30:25
13232 , cf , 2024-02-26 22:12:00 , 2024-02-26 22:12:05
134 , cc , 2024-02-26 22:16:19 , 2024-02-26 22:16:23
159 , hjk , 2024-02-26 22:23:30 , 2024-02-26 22:23:47
1212 , asd , 2024-02-26 22:55:41 , 2024-02-26 22:55:46
125 , a , 2024-02-26 23:15:51 , 2024-02-26 23:15:57
145 , 14 , 2024-02-26 23:16:19 , 2024-02-26 23:16:23
123 , asd , 2024-02-25 08:21:33 , 2024-02-26 23:20:18
1213 , c , 2024-02-26 23:40:21 , 2024-02-26 23:40:26
1212 , as , 2024-02-26 23:02:50 , 2024-02-26 23:40:51
1323 , dx , 2024-02-27 08:07:10 , 2024-02-27 08:07:15
1212 , df , 2024-02-27 08:50:58 , 2024-02-27 08:51:04
0000 , Car , 2024-02-27 09:42:14 , 2024-02-27 09:42:33
2002 , car , 2024-02-27 14:10:13 , 2024-02-27 14:10:46
1414 , car , 2024-02-27 15:48:24 , 2024-02-27 15:48:38
